Samples,corr,cor
4800.0,3.6479999999999996e-5,2.5499999999999997e-6
24000.0,0.0001807,1.349e-5
48000.0,0.00036491999999999997,3.0210000000000004e-5
96000.0,0.0007286400000000001,6.806000000000001e-5
192000.0,0.00146809,0.00015942
240000.0,0.00185171,0.00020212
480000.0,0.00371304,0.0007050000000000001
720000.0,0.00557958,0.0011532
960000.0,0.00740889,0.0015605199999999997
2.4e6,0.018590330000000002,0.004230589999999999
3.36e6,0.02610612,0.0058248100000000014
4.8e6,0.03717361000000001,0.008091510000000001
7.2e6,0.055724099999999985,0.01192916
