Samples,Multiple,Single
4800.0,2.904e-5,6.267999999999999e-5
9600.0,0.00012971,0.00020920000000000002
14400.0,0.0002780800000000001,0.00047096
19200.0,0.0005385100000000001,0.00079776
24000.0,0.0008335800000000002,0.0011929
28800.0,0.0011878200000000002,0.0017707999999999999
33600.0,0.0015919500000000006,0.0024054999999999992
38400.0,0.0020450600000000013,0.00332832
43200.0,0.002586600000000001,0.00404965
48000.0,0.0031987100000000017,0.00490597
52800.0,0.003837780000000001,0.005829969999999999
57600.0,0.004522740000000001,0.006803620000000001
62400.0,0.006726800000000001,0.00817519
67200.0,0.007540099999999999,0.009380459999999998
72000.0,0.008419929999999999,0.01055745
76800.0,0.009216389999999998,0.011845650000000003
81600.0,0.010174839999999997,0.014385050000000002
86400.0,0.011164799999999999,0.0157946
91200.0,0.012250569999999999,0.01799467
96000.0,0.01338093,0.01951798
